For The First Time,Darius Rucker,Country,133,80,43,10,0,1,0,0,0,0,0
Walk It Talk It,Migos Featuring Drake,Hip Hop,265,172,81,11,2,0,0,0,0,0,0
Millionaire,Chris Stapleton,Country,97,58,30,6,3,1,0,0,0,0,0
Best Friend,Sofi Tukker Featuring NERVO,The Knocks & Alisa Ueno,185,113,63,9,1,0,0,0,0,0,0
Speakers,Bleachers And Preachers,Brandon Lay,118,68,42,9,0,0,0,0,0,0,0
I'd Be Jealous Too,Dustin Lynch,Country,68,43,22,3,0,1,0,0,0,0,0
Him & I,G-Eazy & Halsey,Hip Hop,168,108,45,12,3,0,0,0,0,1,0
Everybody Wants To Be Famous,Superorganism,Alternative,36,24,12,1,0,0,0,0,0,0,0
I Hope You're Happy,Blue October,Alternative,59,38,15,6,1,0,0,0,0,0,0
God's Plan,Drake,Hip Hop,104,68,32,4,1,0,0,0,0,0,0
Most People Are Good,Luke Bryan,Country,86,53,32,2,0,0,0,0,0,0,0
Indica Badu,Logic Featuring Wiz Khalifa,Hip Hop,221,137,67,13,4,1,0,0,0,0,0
Rich,Maren Morris,Country,179,113,54,10,0,1,0,0,1,0,1
My My My!,Troye Sivan,Pop,54,43,10,2,0,0,0,0,0,0,0
Wild West,Runaway June,Country,267,174,74,10,3,1,0,2,0,0,0
The Remedy For A Broke Heart (Why Am I So In Love),XXXTentacion,Hip Hop,81,45,31,4,2,0,0,0,0,0,0
Woman,Amen,Dierks Bentley,53,32,18,4,0,0,0,0,0,0,0
Run For Cover,The Killers,Alternative,90,56,27,5,1,2,0,0,0,0,0
You Worry Me,Nathaniel Rateliff & The Night Sweats,Alternative,58,44,14,1,0,0,0,0,0,0,0
Can We Hang On,Cold War Kids,Alternative,86,53,29,5,0,0,0,0,0,0,0
Outside Today,YoungBoy Never Broke Again,Hip Hop,121,76,44,2,0,0,0,0,0,0,0
Look Alive,BlocBoy JB Featuring Drake,Hip Hop,184,130,41,12,2,0,0,0,0,0,0
Coming Home,Keith Urban Featuring Julia Michaels,Country,171,112,54,6,0,0,0,0,0,0,0
Waking Lions,Pop Evil,Rock,61,44,15,3,0,0,0,0,0,0,0
Finesse,Bruno Mars & Cardi B,Hip Hop,149,114,30,5,1,0,0,0,0,0,0
Meant To Be,Bebe Rexha & Florida Georgia Line,Country,75,57,17,2,0,0,0,0,0,0,0
Psycho,Post Malone Featuring Ty Dolla $ign,Hip Hop,113,72,38,3,1,0,0,0,0,0,0
Broken,lovelytheband,Alternative,116,82,31,4,0,0,0,0,0,0,0
Mercy,Brett Young,Country,296,171,93,22,6,3,1,1,0,0,0
Handyman,AWOLNATION,Alternative,53,28,18,5,1,2,0,0,0,0,0
A Little Dive Bar In Dahlonega,Ashley McBryde,Country,100,63,38,0,0,0,0,0,0,0,0
I Fall Apart,Post Malone,Hip Hop,82,51,28,4,0,0,0,0,0,0,0
Mystery Of Love,Sufjan Stevens,Rock,83,51,25,6,1,1,0,0,0,0,0
In My Blood,Shawn Mendes,Pop,54,33,21,1,0,0,0,0,0,0,0
Nervous,The Neighbourhood,Rock,92,60,28,4,1,0,0,0,0,0,0
