"Zedd, Maren Morris & Grey","The Middle",Pop
"Bruno Mars & Cardi B","Finesse",Pop
"Bebe Rexha & Florida Georgia Line","Meant To Be",Pop
"G-Eazy & Halsey","Him & I",Pop
"NF","Let You Down",Pop
"Camila Cabello","Never Be The Same",Pop
"The Weeknd & Kendrick Lamar","Pray For Me",Pop
"Ed Sheeran","Perfect",Pop
"Dua Lipa","New Rules",Pop
"Drake","God's Plan",Pop
"Imagine Dragons","Whatever It Takes",Pop
"MAX Featuring gnash","Lights Down Low",Pop
"Maroon 5","Wait",Pop
"Camila Cabello Featuring Young Thug","Havana",Pop
"Justin Timberlake Featuring Chris Stapleton","Say Something",Pop
"Marshmello & Anne-Marie","Friends",Pop
"Meghan Trainor","No Excuses",Pop
"Bazzi","Mine",Pop
"Demi Lovato","Tell Me You Love Me",Pop
"Lauv","I Like Me Better",Pop
"Kendrick Lamar & SZA","All The Stars",Pop
"Shawn Mendes","In My Blood",Pop
"Dua Lipa","IDGAF",Pop
"5 Seconds Of Summer","Want You Back",Pop
"Post Malone Featuring Ty Dolla $ign","Psycho",Pop
"Taylor Swift","Delicate",Pop
"Niall Horan","On The Loose",Pop
"N*E*R*D & Rihanna","Lemon",Pop
"Alice Merton","No Roots",Pop
"Jack & Jack","Beg",Pop
"Halsey Featuring Big Sean & Stefflon Don","Alone",Pop
"Why Don't We","Trust Fund Baby",Pop
"Foster The People","Sit Next To Me",Pop
"Logic & Marshmello","Everyday",Pop
"The Chainsmokers","Everybody Hates Me",Pop
"Kent Jones","Merengue",Pop
"Migos","Stir Fry",Pop
"Janelle Monae","Make Me Feel",Pop
"Miguel Featuring Travis Scott","Sky Walker",Pop
"AJR Featuring Rivers Cuomo","Sober Up",Pop
"Imagine Dragons","Whatever It Takes",Rock
"Imagine Dragons","Thunder",Rock
"Imagine Dragons","Believer",Rock
"Portugal The Man","Feel It Still",Rock
"Panic! At The Disco","Say Amen (Saturday Night)",Rock
"Bad Wolves","Zombie",Rock
"Foster The People","Sit Next To Me",Rock
" Alice Merton","No Roots",Rock
"WALK THE MOON","One Foot",Rock
"Panic! At The Disco","(Fuck A) Silver Lining",Rock
"Five Finger Death Punch","Gone Away",Rock
"lovelytheband","Broken",Rock
"Portugal The Man","Live In The Moment",Rock
"Fleetwood Mac","Dreams",Rock
"James Bay","Wild Love",Rock
"Muse","Thought Contagion",Rock
"Three Days Grace","The Mountain",Rock
"Breaking Benjamin","Red Cold River",Rock
"Two Feet","I Feel Like I'm Drowning",Rock
"NEEDTOBREATHE","Bridges Burn",Rock
"Nathaniel Rateliff & The Night Sweats","You Worry Me",Rock
"Shinedown","Devil",Rock
"Imagine Dragons","Next To Me",Rock
"The Killers","Run For Cover",Rock
"Godsmack","Bulletproof",Rock
"Vance Joy","Saturday Sun",Rock
"Breaking Benjamin","Psycho",Rock
"Thirty Seconds To Mars","Dangerous Night",Rock
"AWOLNATION","Handyman",Rock
"CHVRCHES","Get Out",Rock
"Sir Sly","&Run",Rock
"Greta Van Fleet","Safari Song",Rock
